id,id_name,typ,alter,land,position
mo_si,mohamed simakan,1,2000,frankreich,innenverteidiger
mo_yeo,moussa yeo,1,2004,mali,rechtsaußen
muc,1860 muenchen,2,-1,deutschland,-1
naci,club nacional,2,-1,uruguay,-1
nant,fc nantes,2,-1,frankreich,-1
na_me,nathan mendes,1,2002,brasilien,rechter verteidiger
navy,navy midshipmen,2,-1,usa,-1
ni_ca,nicolas capaldo,1,1998,argentinien,zentrales mittelfeld
ni_ma,nico mantl,1,2000,deutschland,torwart
ni_tu,nicolo turco,1,2004,italien,sturm
no_ei,noah eile,1,2002,schweden,innenverteidiger
no_oh,noah ohia,1,2003,niederlande,mittelstuermer
no_mu,nordi mukiele,1,1997,frankreich,rechter vereteidiger
no_ok,noah okafor,1,2000,schweiz,linksaußen
na_so,natan bernardo de souza,1,2001,brasilien,innenverteidiger
ni_se,nicolas seiwald,1,2001,oesterreich,zentrales mittelfeld
nsc,nashville sc,2,-1,usa,-1
odd,odds bk,2,-1,norwegen,-1
oest,oeste fc,2,-1,brasilien,-1
oly_ly,olympique lyon,2,-1,frankreich,-1
ol_lu,oliver lukic,1,2006,kroatien,zentrales mittelfeld
om_fe,omir fernandez,1,1999,usa,rechtsaußen
om_so,omar sowe,1,2000,gambia,mittelstuermer
os_gl,oscar gloukh,1,2004,israel,offensives mittelfeld
os_pr,oskar preil,1,2003,deutschland,torwart
or_ny,orjan nyland,1,1990,norwegen,torwart
ou_di,oumar diakite,1,2003,elfenbeinkueste,sturm
ous_di,ousmane diakite,1,2000,mali,defensives mittelfeld
ov_mu,ovonte mullings,1,2000,kanada,rechtsaußen
pa_da,patson daka,1,1998,sambia,sturm
pa_fa,pattrick farkas,1,1992,oesterreich,rechter verteidiger
pa_fc,pafos fc,2,-1,zypern,-1
pa_kl,patryk klimala,1,1998,polen,mittelstuermer
palm,palmeiras,2,-1,brasilien,-1
psg,paris saint germain,2,-1,frankreich,-1
pe_lo,Pedro Gabriel Pereira Lopes,1,1999,brasilien,linksaußen
pe_he,pedro henrique,1,1995,brasilien,innenverteidiger
pe_po,peter pokorny,1,2001,slowakei,defensives mittelfeld
pe_ra,eetar ratkov,1,2003,serbien,sturm
pe_st,peter stroud,1,2002,usa,zentrales mittelfeld
pena,ca penarol,2,-1,uruguay,-1
penn,penn state nittany lions,2,-1,usa,-1
pfkl,pfk lviv,2,-1,ukraine,-1
ph_ko,philipp koehn,1,1998,schweiz,torwart
ph_ve,phillip verhounig,1,2006,oesterreich,mittelstuermer
phil,philadelphia union,2,-1,usa,-1
po_pr,ponte preta,2,-1,brasilien,-1
po_sg,portugesa sg,2,-1,brasilien,-1
psv_eind,psv eindhoven,2,-1,niederlande,-1
qrm,quevilly rouen metropole,2,-1,frankreich,-1
ra_ca,rsc anderlecht,2,-1,belgien,-1
ra_cz,rakow czestochowa,2,-1,polen,-1
ra_ho,raphael hofer,1,2003,oesterreich,linker verteidiger
ra_kr,rasmus kristensen,1,1997,daenemark,rechter verteidiger
ra_li,ramon ramos lima,1,2001,brasilien,linker verteidiger
rbb,rb bragantino,2,-1,brasilien,-1
rbl,rb leipzig,2,-1,deutschland,-1
rbn,rb new york,2,-1,usa,-1
rbs,rb salzburg,2,-1,oesterreich,-1
rbs_u18,aka salzburg u18,2,-1,oesterreich,-1
rc_l,rc lens,2,-1,frankreich,-1
rc_st,rc straßburg alsace,2,-1,frankreich,-1
re_so,real sociedad b,2,-1,spanien,-1
re_si,renan victor da silva,1,2002,brasilien,innenverteidiger
ri_pl,river plate,2,-1,uruguay,-1
ro_ma,robson jose martins (robinho),1,1998,brasilien,rechtsaußen
ro_mi,roald mitchell,1,2003,usa,mittelstuermer
ro_do,ronaldo donkor,1,2004,ghana,zentrales mittelfeld
ro_zi,rocco zikovic,1,2005,kroatien,innenverteidiger
ro_si,roko simic,1,2003,kroatien,sturm
sa_bai,samson baidoo,1,2004,oesterreich,innenverteidiger
sa_ma,samuel major,1,2002,ungarn,rechter verteidiger
sa_te,samuel tetteh,1,1996,ghana,linksaußen
sa_ba,sanoussy ba,1,2004,deutschland,rechter verteidiger
sa_ha,salko hamzic,1,2006,oesterreich,torwart
sa_fe,saalfelden,2,-1,oesterreich,-1
sa_mo,sandro molnar,1,2003,oesterreich,innenverteidiger
sa_ti,samson tijani,1,2002,nigeria,defensives mittelfeld
sc_p,sc paderborn,2,-1,deutschland,-1
sc_fr,sc freiburg,2,-1,deutschland,-1
sc_v,sc verl,2,-1,deutschland,-1
scr_al,scr altach,2,-1,oesterreich,-1
se_ai,sebastian aigner,1,2001,oesterreich,defensives mittelfeld
se_kue,sebastian kuenstner,1,2005,oesterreich,torwart
se_le,sebastian leitner,1,2005,oesterreich,innenverteidiger
se_da,sean davis,1,1993,usa,zentrales mittelfeld
se_ku,seth kuhn,1,2000,usa,linksaußen
sh_d,shakhtar donetsk,2,-1,ukraine,-1
si_ra,sidney raebiger,1,2005,deutschland,zentrales mittelfeld
sk_k,sk austria klagenfurt,2,-1,oesterreich,-1
sk_sl,sk slavia prag,2,-1,tschechien,-1
sl_ro,sligo rovers,2,-1,irland,-1
so_bo,solomon bonnah,1,2003,niederlande,rechter verteidiger
so_di,soumaila diabate,1,2004,mali,defensives mittelfeld
soch,fk sochi,2,-1,russland,-1
ssc_n,ssc neapel,2,-1,italien,-1
st_lue,standard luettich,2,-1,belgien,-1
st_ga,fc st gallen,2,-1,oesterreich,-1
st_gr,sturm graz,2,-1,oesterreich,-1
st_gr_2,sturm graz 2,2,-1,oesterreich,-1
st_pa,strahinja pavlovic,1,2001,serbien,innenverteidiger
st_lo,st louis city sc,2,-1,usa,-1
st_lo2,st louis city sc 2,2,-1,usa,-1
st_re,stade reims,2,-1,frankreich,-1
stan,stanford cardinal,2,-1,usa,-1
stok,stoke city,2,-1,england,-1
suwo,suwon buewings,2,-1,suedkorea,-1
sw_br,sw bregenz,2,-1,schweiz,-1
sv_el,sv elversberg,2,-1,deutschland,-1
sv_la,sv lafnitz,2,-1,oesterreich,-1
sv_ho,sv horn,2,-1,oesterreich,-1
sv_ka,sv kapfenberg,2,-1,oesterreich,-1
sv_ri,sc ried,2,-1,oesterreich,-1
ta_al,talisson de almeida,1,2002,brasilien,linksaußen
tbro,tampa bay rowdies,2,-1,usa,-1
te_av,m tel aviv,2,-1,israel,-1
th_bo,thiago borbas,1,2002,uruguay,mittelstuermer
th_an,thonny anderson,1,1997,brasilien,offensives mittelfeld
th_sc,thomas schiestl,1,2002,oesterreich,rechtes mittelfeld
ti_pa,tim paumgartner,1,2005,oesterreich,zentrales mittelfeld
ti_tr,tim trummer,1,2005,oesterreich,rechter verteidiger
ti_sc,tim schreiber,1,2002,deutschland,torwart
ti_we,timo werner,1,1996,deutschland,linksaußen
to_ba,tom barlow,1,1995,usa,mittelstuermer
to_ed,tom edwards,1,1999,england,rechter verteidiger
to_kr,tom krauß,1,2001,deutschland,zentrales mittelfeld
to_sa,tolgahan sahin,1,2004,oesterreich,zentrales mittelfeld
tsv_har,tsv hartberg,2,-1,oesterreich,-1
tsg_h,tsg hoffenheim,2,-1,deutschland,-1
tott,tottenham hotspur,2,-1,england,-1
ty_ad,tyler adams,1,1999,usa,defensives mittelfeld
ty_pa,tyler pasher,1,1994,kanada,rechtsaußen
ucon,uconn huskies,2,-1,usa,-1
unio,union saint gilloise,2,-1,belgien,-1
